Year_Month,Category,Installs,MoM_Growth
2018-03,BEAUTY,5000,
2018-06,BEAUTY,1000000,19900.0
2018-07,BEAUTY,1000000,0.0
2018-08,BEAUTY,100000,-90.0
2014-10,BOOKS_AND_REFERENCE,500000,
2014-11,BOOKS_AND_REFERENCE,5000000,900.0
2015-07,BOOKS_AND_REFERENCE,10000000,100.0
2016-06,BOOKS_AND_REFERENCE,60000,-99.4
2016-08,BOOKS_AND_REFERENCE,100000,66.66666666666667
2017-02,BOOKS_AND_REFERENCE,100000,0.0
2017-04,BOOKS_AND_REFERENCE,1000000,900.0
2017-05,BOOKS_AND_REFERENCE,100000,-90.0
2017-07,BOOKS_AND_REFERENCE,100000,0.0
2017-08,BOOKS_AND_REFERENCE,10010000,9910.0
2017-11,BOOKS_AND_REFERENCE,2000000,-80.01998001998003
2018-04,BOOKS_AND_REFERENCE,1050000,-47.5
2018-05,BOOKS_AND_REFERENCE,40600000,3766.6666666666665
2018-06,BOOKS_AND_REFERENCE,47100000,16.009852216748776
2018-07,BOOKS_AND_REFERENCE,101600000,115.71125265392782
2018-08,BOOKS_AND_REFERENCE,110050000,8.316929133858263
2014-05,BUSINESS,100000,
2015-09,BUSINESS,100000,0.0
2016-02,BUSINESS,10000,-90.0
2016-03,BUSINESS,1000000,9900.0
2017-09,BUSINESS,1000000,0.0
2017-11,BUSINESS,500000,-50.0
2017-12,BUSINESS,1001000,100.19999999999997
2018-02,BUSINESS,1000000,-0.09990009990009652
2018-05,BUSINESS,100000,-90.0
2018-06,BUSINESS,15200000,15100.0
2018-07,BUSINESS,11600000,-23.684210526315784
2018-08,BUSINESS,115100000,892.2413793103449
2017-03,COMICS,100000,
2018-05,COMICS,100000,0.0
2018-07,COMICS,6000000,5900.0
2018-08,COMICS,5050000,-15.833333333333332
2014-01,COMMUNICATION,100000,
2014-03,COMMUNICATION,100000,0.0
2014-07,COMMUNICATION,10000000,9900.0
2015-03,COMMUNICATION,1000000,-90.0
2015-08,COMMUNICATION,2000000,100.0
2016-06,COMMUNICATION,1000000,-50.0
2016-07,COMMUNICATION,110000,-89.0
2016-09,COMMUNICATION,1000000,809.0909090909091
2016-11,COMMUNICATION,11000000,1000.0
2017-04,COMMUNICATION,100000,-99.0909090909091
2017-09,COMMUNICATION,50000,-50.0
2017-11,COMMUNICATION,5000000,9900.0
2018-01,COMMUNICATION,16000000,220.00000000000003
2018-03,COMMUNICATION,10100000,-36.875
2018-04,COMMUNICATION,1000000,-90.0990099009901
2018-05,COMMUNICATION,5000000,400.0
2018-06,COMMUNICATION,11100000,122.00000000000001
2018-07,COMMUNICATION,315730000,2744.4144144144143
2018-08,COMMUNICATION,1298510000,311.27228961454404
2014-07,EDUCATION,10000,
2015-01,EDUCATION,100000,900.0
2015-06,EDUCATION,1000000,900.0
2015-08,EDUCATION,1000000,0.0
2016-09,EDUCATION,1000000,0.0
2016-12,EDUCATION,100000,-90.0
2017-08,EDUCATION,1000000,900.0
2017-10,EDUCATION,1000000,0.0
2017-12,EDUCATION,3000000,200.0
2018-05,EDUCATION,2100000,-30.000000000000004
2018-07,EDUCATION,9000000,328.57142857142856
2018-08,EDUCATION,2000000,-77.77777777777779
2015-09,ENTERTAINMENT,1000000,
2016-04,ENTERTAINMENT,10000000,900.0
2016-09,ENTERTAINMENT,10000000,0.0
2018-01,ENTERTAINMENT,10000000,0.0
2018-03,ENTERTAINMENT,10000000,0.0
2018-05,ENTERTAINMENT,6000000,-40.0
2018-06,ENTERTAINMENT,21100000,251.66666666666666
2018-07,ENTERTAINMENT,375300000,1678.6729857819907
2018-08,ENTERTAINMENT,66200000,-82.36077804423128
2018-05,EVENTS,10000,
2018-06,EVENTS,500000,4900.0
2018-07,EVENTS,1100000,120.00000000000001
