App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Updated_Month,Updated_Year,Avg_Sentiment_Polarity,Avg_Sentiment_Subjectivity,Total_Reviews,Avg_Review_Length,Avg_Word_Count,Revenue,Update_Month_Name,Update_Year,Year_Month
Caller ID +,COMMUNICATION,4.0,9498,0.115234375,1000000,Free,0.0,Everyone,Communication,2016-06-07,5.28.0,2.3 and up,6,2016,0.35,0.6000000000000001,1.0,97.0,15.0,0.0,June,2016,2016-06
Hill Climb Racing,GAME,4.4,8923847,63.0,100000000,Free,0.0,Everyone,Racing,2018-07-02,1.37.2,4.2 and up,7,2018,0.1065154333126959,0.5080707077280265,36.0,158.44444444444446,26.416666666666668,0.0,July,2018,2018-07
Chrome Dev,COMMUNICATION,4.4,63576,13.0,5000000,Free,0.0,Everyone,Communication,2018-08-02,69.0.3497.24,Varies with device,8,2018,0.3058902989260132,0.5056859155073441,37.0,121.89189189189187,17.2972972972973,0.0,August,2018,2018-08
Google Primer,BUSINESS,4.4,62272,18.0,10000000,Free,0.0,Everyone,Business,2018-06-26,3.550.2,4.1 and up,6,2018,0.75,0.675,2.0,4.5,1.0,0.0,June,2018,2018-06
Block Puzzle,GAME,4.6,59907,7.8,5000000,Free,0.0,Everyone,Puzzle,2018-03-06,2.9,2.3 and up,3,2018,0.0492647370414427,0.5369077898334811,93.0,124.74193548387096,20.258064516129032,0.0,March,2018,2018-03
Honkai Impact 3rd,GAME,4.7,59017,82.0,1000000,Free,0.0,Teen,Action,2018-07-03,2.2.1,4.3 and up,7,2018,0.1014829802152094,0.5235471409602994,38.0,253.57894736842104,39.92105263157895,0.0,July,2018,2018-07
Garena Free Fire,GAME,4.5,5534114,53.0,100000000,Free,0.0,Teen,Action,2018-08-03,1.21.0,4.0.3 and up,8,2018,0.0764728617218388,0.5044015850261759,94.0,153.7127659574468,25.34042553191489,0.0,August,2018,2018-08
CMB Free Dating App,DATING,4.0,48845,40.0,1000000,Free,0.0,Mature 17+,Dating,2018-08-01,4.19.0.2320,4.4 and up,8,2018,0.2879371370442799,0.5508914387485816,37.0,88.51351351351352,14.432432432432432,0.0,August,2018,2018-08
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483782,20.0,10000000,Free,0.0,Everyone,Communication,2018-07-29,1.286,4.1 and up,7,2018,0.3907407407407408,0.5064814814814815,1.0,114.0,21.0,0.0,July,2018,2018-07
Draw In,GAME,4.2,46416,73.0,10000000,Free,0.0,Everyone,Arcade,2018-07-23,1.0.8,4.1 and up,7,2018,-0.1341666666666666,0.5825,1.0,116.0,21.0,0.0,July,2018,2018-07
4 in a Row,GAME,3.8,4257,13.0,500000,Free,0.0,Everyone,Board,2018-05-13,Varies with device,Varies with device,5,2018,0.2811435185185185,0.5781031746031746,20.0,40.3,7.05,0.0,May,2018,2018-05
Candy Bomb,GAME,4.4,42145,20.0,10000000,Free,0.0,Everyone,Casual;Brain Games,2018-07-04,2.9.3181,4.0.3 and up,7,2018,0.3065610651974289,0.5916551882460973,33.0,28.03030303030303,5.242424242424242,0.0,July,2018,2018-07
"2Date Dating App, Love and matching",DATING,4.4,41605,8.1,500000,Free,0.0,Mature 17+,Dating,2018-07-26,4.813,4.0.3 and up,7,2018,0.2802671702652353,0.5583907406662825,38.0,82.63157894736842,13.157894736842104,0.0,July,2018,2018-07
Amazon Prime Video,ENTERTAINMENT,4.2,411683,24.0,50000000,Free,0.0,Teen,Entertainment,2018-08-02,3.0.231.18141,4.1 and up,8,2018,0.4611111111111111,0.5555555555555556,2.0,157.5,25.0,0.0,August,2018,2018-08
Dude Perfect 2,GAME,4.5,401648,70.0,10000000,Free,0.0,Everyone,Action,2017-04-12,1.6.1,4.0.3 and up,4,2017,0.1169023559743807,0.5357966279447627,84.0,143.08333333333334,24.535714285714285,0.0,April,2017,2017-04
GroupMe,COMMUNICATION,4.5,330761,13.0,10000000,Free,0.0,Everyone,Communication,2018-07-03,Varies with device,Varies with device,7,2018,0.1184400408619158,0.518137446598985,39.0,203.15384615384616,31.15384615384616,0.0,July,2018,2018-07
GMX Mail,COMMUNICATION,4.3,258556,13.0,10000000,Free,0.0,Everyone,Communication,2018-07-25,Varies with device,Varies with device,7,2018,0.3400470779220779,0.5407398018648019,30.0,52.73333333333333,8.433333333333334,0.0,July,2018,2018-07
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2560,56.0,100000,Free,0.0,Mature 17+,Dating,2018-08-01,2.5.2,4.1 and up,8,2018,0.0331751253132831,0.5712475633528266,38.0,73.28947368421052,13.052631578947368,0.0,August,2018,2018-08
Hitwe - meet people and chat,DATING,4.2,243950,21.0,10000000,Free,0.0,Mature 17+,Dating,2018-05-10,4.3.2,4.1 and up,5,2018,-0.1394560185185185,0.694104938271605,9.0,131.55555555555554,21.11111111111111,0.0,May,2018,2018-05
Four In A Line,GAME,3.8,22191,3.0,1000000,Free,0.0,Everyone,Board,2015-05-04,1.10,2.3 and up,5,2015,0.2748487572309293,0.5493170399727777,61.0,47.0,8.475409836065573,0.0,May,2015,2015-05
1LINE – One Line with One Touch,GAME,4.6,214878,10.0,10000000,Free,0.0,Everyone,Board,2018-08-03,2.0.4,4.1 and up,8,2018,0.196290299612668,0.5573153053087264,38.0,22.86842105263158,3.947368421052632,0.0,August,2018,2018-08
Cut the Rope FULL FREE,GAME,4.4,2123793,49.0,100000000,Free,0.0,Everyone,Puzzle,2018-07-05,3.7.2,4.1 and up,7,2018,0.0130677538872691,0.5702711808929921,28.0,145.57142857142858,24.892857142857142,0.0,July,2018,2018-07
Call Blocker,BUSINESS,4.6,188841,3.2,5000000,Free,0.0,Everyone,Business,2018-06-21,1.1.13,4.0 and up,6,2018,0.0279725829725829,0.6554310966810967,3.0,148.33333333333334,23.0,0.0,June,2018,2018-06
