Year_Month,Category,Installs,MoM_Growth,Cumulative_Installs
2018-03,PARENTING,100000,,100000
2018-05,PARENTING,10000000,9900.0,10100000
2018-07,PARENTING,600000,-94.0,10700000
2016-12,PERSONALIZATION,1000000,,1000000
2017-09,PERSONALIZATION,1000000,0.0,2000000
2018-01,PERSONALIZATION,10000000,900.0,12000000
2018-02,PERSONALIZATION,10000000,0.0,22000000
2018-06,PERSONALIZATION,10000000,0.0,32000000
2018-07,PERSONALIZATION,11500000,14.999999999999991,43500000
2018-08,PERSONALIZATION,20000000,73.91304347826086,63500000
2014-11,PHOTOGRAPHY,1000000,,1000000
2017-03,PHOTOGRAPHY,50000000,4900.0,51000000
2017-06,PHOTOGRAPHY,10000000,-80.0,61000000
2017-07,PHOTOGRAPHY,15000000,50.0,76000000
2017-10,PHOTOGRAPHY,5000000,-66.66666666666667,81000000
2017-12,PHOTOGRAPHY,10000000,100.0,91000000
2018-01,PHOTOGRAPHY,10000000,0.0,101000000
2018-03,PHOTOGRAPHY,2000000,-80.0,103000000
2018-05,PHOTOGRAPHY,11000000,450.0,114000000
2018-06,PHOTOGRAPHY,71000000,545.4545454545454,185000000
2018-07,PHOTOGRAPHY,258000000,263.38028169014086,443000000
2018-08,PHOTOGRAPHY,526500000,104.06976744186048,969500000
2016-10,PRODUCTIVITY,1000000,,1000000
2018-02,PRODUCTIVITY,100000,-90.0,1100000
2018-06,PRODUCTIVITY,15000000,14900.0,16100000
2018-07,PRODUCTIVITY,166000000,1006.6666666666666,182100000
2018-08,PRODUCTIVITY,605000000,264.4578313253012,787100000
2017-08,TOOLS,50000,,50000
2018-01,TOOLS,1000000,1900.0,1050000
2018-05,TOOLS,10000000,900.0,11050000
2018-07,TOOLS,222600000,2126.0,233650000
2018-08,TOOLS,120000000,-46.091644204851754,353650000
2017-10,TRAVEL_AND_LOCAL,50000,,50000
2018-04,TRAVEL_AND_LOCAL,5000000,9900.0,5050000
2018-06,TRAVEL_AND_LOCAL,6000000,19.999999999999996,11050000
2018-07,TRAVEL_AND_LOCAL,31100000,418.33333333333337,42150000
2018-08,TRAVEL_AND_LOCAL,35100000,12.86173633440515,77250000
